id,title,category,condition,price,base_price,discount_percentage,currency,stock,max_purchase_quantity,free_shipping,logistic_type,pickup_available,city,state,country,os,resolution,storage,ram,cpu,voice_assistant,remote_type,ports,bluetooth,wifi,wifi_standards,warranty_time,warranty_type
MLA1374858831,Android Tv Stick Control De Voz Full Hd 16gb Con 2gb De Ram,MLA352001,new,75000.0,75000.0,0,ARS,485,,True,xd_drop_off,False,CABA,Capital Federal,Argentina,Android TV 10,Full HD,16 GB,2 GB,Cortex-A53 Quad-Core,,,Micro-USB,,,IEEE 802.11a/b/g/n/ac,No especificado,Sin garantía
MLA874470219,Xiaomi Mi Tv Stick Full Hd 8gb Con Control X Voz Chromecast,MLA352001,new,99999.0,99999.0,0,ARS,539,,True,cross_docking,False,Villa Crespo,Capital Federal,Argentina,Android TV 9.0,Full HD,8 GB,1 GB,ARM Cortex-A53 Quad-Core,Google Assistant,De voz,Micro-USB,Sí,Sí,2.4GHz,6 meses,Garantía del vendedor
MLA1931250070,Tv Stick 4k | Convertidor Smart Tv Box Android Tv,MLA352001,new,74999.0,74999.0,0,ARS,31,,True,xd_drop_off,False,Villa Luro,Capital Federal,Argentina,Android TV,4K,64 GB,4 GB,Cortex A-35 Quad-Core,,,Auriculares Micro-usb,Sí,Sí,IEEE 802.11a/b/g/n/ac,30 días,Garantía del vendedor
MLA1663084514,Dcolor Chromecast Gd1 4k De Voz 4k 16gb Negro Con 2gb De Memoria Ram,MLA352001,new,105000.0,105000.0,0,ARS,25,,True,xd_drop_off,False,San nicolas,Capital Federal,Argentina,Android,4K,16 GB,2 GB,Amlogic S905Y4-B,,De voz,USB-C,,Sí,IEEE 802.11n,6 meses,Garantía del vendedor
MLA1160117408,Convertidor Smart Xiaomi Mi Tv Stick Amazon Disney Netflix,MLA352001,new,148919.0,148919.0,0,ARS,75,,True,xd_drop_off,False,Capital,Córdoba,Argentina,Android TV 9.0,Full HD,8 GB,1 GB,Cortex-A53 Quad-Core,Google Assistant,,Micro-USB,Sí,Sí,IEEE 802.11a/b/g/n/ac,1 meses,Garantía del vendedor
MLA1430039936,Google Chromecast With Google Tv De Voz 4k Cargador Original,MLA352001,new,178996.0,178996.0,0,ARS,39,,True,xd_drop_off,False,Martin Coronado,Buenos Aires,Argentina,Android TV,4K,8 GB,2 GB,Amlogic S905X3 Cortex-A55 Quad-Core,,,USB-C,Sí,Sí,IEEE 802.11ac,30 días,Garantía del vendedor
MLA1501625752,Google Chromecast Con Google Tv 4k + Control Remoto,MLA352001,new,126358.0,126358.0,0,ARS,147,,True,drop_off,False,Río Cuarto,Córdoba,Argentina,Android TV,4K,8 GB,2 GB,Amlogic S905X3 Cortex-A55 Quad-Core,,,USB-C,Sí,Sí,IEEE 802.11ac,No especificado,No especificado
MLA1439021777,Chromecast 4 Original Google Tv De Voz 4k 8gb,MLA352001,new,145530.0,145530.0,0,ARS,21,,True,xd_drop_off,False,Rosario,Santa Fe,Argentina,Android TV,4K,8 GB,2 GB,,Google Assistant,De voz,USB-C,Sí,Sí,"2.4GHz, 5.8GHz",6 meses,Garantía del vendedor
MLA728618823,Chromecast Version Miracast Netflix Youtube Spotify Ramos,MLA352001,new,239989.99,239989.99,0,ARS,35,,True,xd_drop_off,False,Ramos Mejía,Buenos Aires,Argentina,Chrome OS,4K,8 GB,2 GB,Amlogic S905X3 Cortex-A55 Quad-Core,Google Assistant,,USB-C,Sí,Sí,AMLogic,2 días,Garantía del vendedor
MLA1129875802,Chromecast 4 Google Tv 4k Cuot-s S/ Inter-s + Cargador Orig.,MLA352001,new,178995.0,178995.0,0,ARS,86,,True,xd_drop_off,False,Martin Coronado,Buenos Aires,Argentina,Android TV OS,,8 GB,2 GB,Amlogic s905x3,,,USB-C,Sí,Sí,IEEE 802.11ac,6 meses,Garantía del vendedor
MLA2023516262,Tvbox Luo Convertidor De Smart Y Magistv,MLA352001,new,47500.0,47500.0,0,ARS,50,,True,drop_off,False,clorinda,Formosa,Argentina,Android,4K,256 GB,4 GB,,no,,HDMI,No,Sí,,15 días,Garantía de fábrica
MLA1841433836,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,MLA352001,new,129999.0,129999.0,0,ARS,14,,True,xd_drop_off,False,San Telmo,Capital Federal,Argentina,Android TV 9.0,Full HD,8 GB,1 GB,Cortex-A53 Quad-Core,Google Assistant,,Micro-USB,Sí,Sí,IEEE 802.11a/b/g/n/ac,30 días,Garantía del vendedor
MLA1597574484,Parlante Google Home Mini Asistente Virtual Refabricado,MLA409415,new,69990.0,69990.0,0,ARS,176,,True,fulfillment,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA930506223,Soporte Montaje Embutido Pared Google Home Hub Mountgenie,MLA409415,new,19900.0,19900.0,0,ARS,50,,False,xd_drop_off,False,Caballito,Capital Federal,Argentina,,,,,,,,,,,,2 años,Garantía del vendedor
MLA1400506527,Google Home Mini Multi-room Google Assistant Refabricado,MLA409415,new,84990.0,84990.0,0,ARS,1,,True,cross_docking,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA2011107376,Prte Pared 45º Ggle Hme Hub 138x60mm Nextsale Clr Negr,MLA409415,new,10900.0,10900.0,0,ARS,12997,,False,xd_drop_off,False,Munro,Buenos Aires,Argentina,,,,,,,,,Sí,,,30 días,Garantía de fábrica
MLA1110314122,Soporte Pared 45º Google Home Hub Base 138x60mm Nextsale,MLA409415,new,10900.0,10900.0,0,ARS,25998,,False,xd_drop_off,False,Munro,Buenos Aires,Argentina,,,,,,,,,Sí,,,30 días,Garantía de fábrica
MLA1400539531,Google Home Mini Asistente Virtual Google Assistant Ref,MLA409415,new,64990.0,64990.0,0,ARS,3,,True,cross_docking,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA1110377590,Soporte De Pared Google Mini Home / Nest Mini 2da Generacion,MLA409415,new,10900.0,10900.0,0,ARS,38960,,False,xd_drop_off,False,Munro,Buenos Aires,Argentina,,,,,,,,,Sí,,,30 días,Garantía de fábrica
MLA1480178625,"Google Home Mini, Muy Buen Estado, Anda Perfecto. Leer!!!",MLA409415,used,80000.0,80000.0,0,ARS,1,,False,xd_drop_off,False,Valentín Alsina,Buenos Aires,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1569955706,Google Home Asistente Virtual Google Assistant White Y Slate,MLA409415,used,220000.0,220000.0,0,ARS,1,,True,drop_off,False,La Escondida,Chaco,Argentina,,,,,,,,,Sí,,,3 meses,Garantía de fábrica
MLA1480304633,Google Home Max Color Chalk 110/220v Wifi,MLA409415,used,800000.0,800000.0,0,ARS,1,,True,drop_off,False,Florencio Varela,Buenos Aires,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1361515563,Parlante Inteligente Google Home Mini Smart Speaker Spotify,MLA409415,used,58990.0,58990.0,0,ARS,5,,False,cross_docking,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA1364551668,Parlante Inteligente Google Home Mini  Youtube Usado Gris,MLA409415,used,58990.0,58990.0,0,ARS,5,,False,cross_docking,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA1361528507,Parlante Inteligente Google Home Mini Smart Speaker Gris Yt,MLA409415,used,62990.0,62990.0,0,ARS,4,,False,cross_docking,False,Chacarita,Capital Federal,Argentina,,,,,,,,,Sí,,,3 meses,Garantía del vendedor
MLA1412480803,Google Home Mini Negro,MLA409415,used,90000.0,90000.0,0,ARS,1,,False,xd_drop_off,False,San Nicolás,Capital Federal,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1820484428,Google Home Mini Con Asistente Virtual Charcoal 110v/220v,MLA409415,used,89999.0,89999.0,0,ARS,1,,False,xd_drop_off,False,Capital federal,Capital Federal,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1416430677,Google Home Mini Original!! Google Assistant ,MLA409415,used,40000.0,40000.0,0,ARS,1,,False,drop_off,False,Arroyo Seco,Santa Fe,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1807784940,Google Home Mini Con Asistente Virtual,MLA409415,used,99000.0,99000.0,0,ARS,1,,False,drop_off,False,Capital,Salta,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1437520249,Google Home Mini Con Asistente Virtual Color Negro,MLA409415,used,159999.0,159999.0,0,ARS,1,,False,xd_drop_off,False,Villa Pueyrredón,Capital Federal,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA2026121084,Google Home Mini Asistente Google (no Es Reacondicionado) Negro,MLA409415,used,50000.0,50000.0,0,ARS,1,1,False,xd_drop_off,False,Victoria,Buenos Aires,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
MLA1476279951,"Altavoz Wi-fi Google Home Mini Assistant, Color Negro",MLA409415,used,38000.0,38000.0,0,ARS,1,,True,drop_off,False,Mar Del Plata,Buenos Aires,Argentina,,,,,,,,,Sí,,,5 días,Garantía del vendedor
MLA1474936661,Google Home Mini Con Google Assistant Chalk 110/220v Chalk,MLA409415,used,39999.0,39999.0,0,ARS,1,,False,xd_drop_off,False,Pilar,Buenos Aires,Argentina,,,,,,,,,Sí,,,No especificado,Sin garantía
